86,9,37.209302,495,3.448276,cluster13
86,9,37.209302,495,3.448276,cluster13
90,2,27.906977,499,4.433498,cluster9
85,14,37.209302,495,3.448276,cluster14
99,3,6.976744,499,4.433498,cluster0
93,6,20.930233,499,4.433498,cluster6
86,9,37.209302,495,3.448276,cluster13
98,8,9.302326,499,4.433498,cluster1
95,0,16.27907,499,4.433498,cluster4
95,0,16.27907,499,4.433498,cluster4
91,12,25.581395,499,4.433498,cluster8
93,6,20.930233,499,4.433498,cluster6
90,2,27.906977,499,4.433498,cluster9
91,12,25.581395,499,4.433498,cluster8
90,2,27.906977,499,4.433498,cluster9
99,3,6.976744,499,4.433498,cluster0
92,10,23.255814,499,4.433498,cluster7
87,4,34.883721,495,3.448276,cluster12
91,12,25.581395,499,4.433498,cluster8
92,10,23.255814,499,4.433498,cluster7
94,11,18.604651,499,4.433498,cluster5
85,14,37.209302,495,3.448276,cluster14
92,10,23.255814,499,4.433498,cluster7
85,14,37.209302,495,3.448276,cluster14
95,0,16.27907,499,4.433498,cluster4
92,10,23.255814,499,4.433498,cluster7
86,9,37.209302,495,3.448276,cluster13
98,8,9.302326,499,4.433498,cluster1
98,8,9.302326,499,4.433498,cluster1
94,11,18.604651,499,4.433498,cluster5
88,5,32.55814,495,3.448276,cluster11
98,8,9.302326,499,4.433498,cluster1
99,3,6.976744,499,4.433498,cluster0
89,13,30.232558,495,3.448276,cluster10
93,6,20.930233,499,4.433498,cluster6
99,3,6.976744,499,4.433498,cluster0
99,3,6.976744,499,4.433498,cluster0
92,10,23.255814,499,4.433498,cluster7
85,14,37.209302,495,3.448276,cluster14
86,9,37.209302,495,3.448276,cluster13
87,4,34.883721,495,3.448276,cluster12
97,1,11.627907,499,4.433498,cluster2
91,12,25.581395,499,4.433498,cluster8
88,5,32.55814,495,3.448276,cluster11
87,4,34.883721,495,3.448276,cluster12
87,4,34.883721,495,3.448276,cluster12
98,8,9.302326,499,4.433498,cluster1
94,11,18.604651,499,4.433498,cluster5
